pickup_date,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location_id,dropoff_location_id,junk1,junk2,trip_duration_minutes
2009-01-01,0,CMT,2009-01-01 00:05:00,2009-01-01 00:20:18,1,2.1,-74.00697,40.73092,,,-73.98464,40.743217,Cash,10.2,0,0.0,0.0,0.0,0.0,10.2,0,0,,,15.3
2009-01-01,0,CMT,2009-01-01 00:05:01,2009-01-01 00:10:52,1,2.3,-73.95242,40.74158,,,-73.982414,40.7369,Cash,45.0,0,0.0,0.0,4.15,0.0,49.149998,0,0,,,5.85
2009-01-01,0,CMT,2009-01-01 00:05:07,2009-01-01 00:06:10,2,0.2,-73.96343,40.77435,,,-73.96052,40.773163,Cash,3.4,0,0.0,0.0,0.0,0.0,3.3999999,0,0,,,1.05
2009-01-01,0,CMT,2009-01-01 00:05:24,2009-01-01 00:19:16,2,2.6,-73.98035,40.785717,,,-73.95778,40.76291,Cash,10.6,0,0.0,0.0,0.0,0.0,10.6,0,0,,,13.866666666666667
2009-01-01,0,CMT,2009-01-01 00:05:34,2009-01-01 00:11:04,1,0.8,-73.972496,40.76551,,,-73.97431,40.753635,Cash,5.8,0,0.0,0.0,0.0,0.0,5.7999997,0,0,,,5.5
2009-01-01,0,CMT,2009-01-01 00:05:34,2009-01-01 00:08:08,1,0.5,-73.96106,40.776028,,,-73.95485,40.778286,Cash,4.2,0,0.0,0.0,0.0,0.0,4.2,0,0,,,2.566666666666667
2009-01-01,0,CMT,2009-01-01 00:05:41,2009-01-01 00:12:25,4,1.0,-74.00004,40.728638,,,-73.98774,40.719925,Cash,6.2,0,0.0,0.0,0.0,0.0,6.2,0,0,,,6.733333333333333
2009-01-01,0,CMT,2009-01-01 00:05:55,2009-01-01 00:14:30,2,1.7,-73.96014,40.715168,,,-73.96226,40.705215,Cash,7.8,0,0.0,0.0,0.0,0.0,7.7999997,0,0,,,8.583333333333334
2009-01-01,0,CMT,2009-01-01 00:05:56,2009-01-01 00:11:51,1,0.9,-73.992165,40.759155,,,-74.00091,40.74727,No Charge,5.8,0,0.0,0.0,0.0,0.0,5.7999997,0,0,,,5.916666666666667
2009-01-01,0,CMT,2009-01-01 00:05:58,2009-01-01 00:34:12,1,8.9,-73.99243,40.769062,,,-73.959435,40.691597,Cash,23.8,0,0.0,0.0,0.0,0.0,23.8,0,0,,,28.233333333333334
