pickup_date,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location_id,dropoff_location_id,junk1,junk2
2012-01-01,0,CMT,2012-01-01 00:04:32,2012-01-01 00:25:54,1,2.7,-74.001724,40.74082,1,N,-73.97168,40.762974,CSH,12.5,0.5,0.5,0.0,0.0,0.0,13.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:32,2012-01-01 00:05:38,1,0.29999998,-73.98162,40.77848,1,N,-73.9764,40.77641,CSH,2.9,0.5,0.5,0.0,0.0,0.0,3.8999999,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:37,2012-01-01 00:18:40,1,4.7999997,-73.97131,40.800797,1,N,-73.988785,40.78437,CSH,13.7,0.5,0.5,0.0,0.0,0.0,14.7,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:42,2012-01-01 00:11:38,1,2.0,-73.98494,40.739605,4,N,-74.00498,40.719013,CRD,6.9,0.5,0.5,1.58,0.0,0.0,9.48,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:42,2012-01-01 00:30:56,1,5.5,-73.9833,40.76624,1,N,-74.00797,40.712193,CRD,18.5,0.5,0.5,3.9,0.0,0.0,23.4,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:43,2012-01-01 00:18:53,1,2.3999999,-73.99171,40.727234,1,N,-73.97296,40.756077,CSH,9.7,0.5,0.5,0.0,0.0,0.0,10.7,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:51,2012-01-01 00:12:47,0,1.8,-73.9747,40.7329,1,N,-73.9911,40.7508,CSH,7.3,0.5,0.5,0.0,0.0,0.0,8.3,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:53,2012-01-01 00:15:09,2,1.6,-73.9967,40.7211,1,N,-73.9979,40.740402,CSH,7.7,0.5,0.5,0.0,0.0,0.0,8.7,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:54,2012-01-01 00:12:33,2,1.5,-73.98501,40.739708,1,N,-73.972,40.756523,CRD,6.5,0.5,0.5,1.87,0.0,0.0,9.37,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:01,2012-01-01 00:16:45,3,2.2,-74.00567,40.72573,1,N,-73.98934,40.75213,CSH,8.5,0.5,0.5,0.0,0.0,0.0,9.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:02,2012-01-01 00:23:14,2,9.099999,-73.77689,40.6452,1,N,-73.85861,40.727,CSH,22.5,0.5,0.5,0.0,0.0,0.0,23.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:03,2012-01-01 00:15:56,2,2.8,-73.98218,40.775497,1,N,-73.96065,40.81242,CSH,10.1,0.5,0.5,0.0,0.0,0.0,11.1,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:05,2012-01-01 00:07:31,3,0.0,-73.984634,40.75438,1,N,-73.984634,40.754387,CSH,3.3,0.5,0.5,0.0,0.0,0.0,4.2999997,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:05,2012-01-01 00:22:54,1,11.9,-73.776794,40.6452,1,N,-73.8139,40.7709,CSH,27.3,0.5,0.5,0.0,0.0,0.0,28.3,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:07,2012-01-01 00:20:00,1,5.7999997,-73.97556,40.745216,1,N,-73.894104,40.754616,CSH,15.3,0.5,0.5,0.0,0.0,0.0,16.3,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:17,2012-01-01 00:11:41,1,1.8,-73.92838,40.865818,1,N,-73.94014,40.843704,CSH,6.9,0.5,0.5,0.0,0.0,0.0,7.9,0,0,,
